Year,Month,Date
1901,2,14
1901,3,7
1901,4,11
1901,4,18
1901,5,16
1901,5,23
1901,5,30
1901,6,20
1901,6,27
1901,7,4
1901,7,11
1901,8,8
1901,8,22
1901,10,17
1901,10,31
1901,12,11
1902,3,13
1902,3,27
1902,7,24
1902,7,31
1902,8,21
1902,12,4
1903,3,5
1903,3,12
1903,6,4
1903,6,25
1903,7,9
1903,7,16
1903,8,13
1903,8,20
1904,2,11
1904,3,17
1904,5,19
1904,5,26
1904,6,9
1904,8,11
1904,8,18
1904,8,25
1904,9,8
1904,10,6
1905,6,29
1905,7,13
2905,8,3
1905,8,24
1906,7,5
1906,7,12
1906,7,19
1906,7,26
1906,8,2
1906,8,9
1906,8,23
1906,9,6
1906,9,13
1906,9,20
1906,10,11
1906,12,6
1907,3,21
1907,4,4
1907,4,11
1907,6,27
1907,7,25
1907,8,1
1907,8,8
1907,8,29
1907,10,10
1907,10,17
1907,10,31
1907,11,7
1907,11,28
1908,1,16
1908,3,5
1908,3,12
1908,3,26
1908,4,2
1908,4,9
1908,4,16
1908,4,23
1908,4,30
1908,5,14
1908,5,21
1908,5,28
1908,7,2
1908,7,16
1908,7,23
1908,8,6
1908,8,13
1908,8,20
1908,8,27
1908,9,24
1909,2,4
1909,3,25
1909,4,15
1909,4,29
1909,5,13
1909,5,20
1909,6,10
1909,7,8
1909,8,12
1909,8,19
1909,9,9
1909,12,2
1910,1,6
1910,1,20
1910,2,24
1910,3,24
1910,5,19
1910,6,23
1910,7,7
1910,7,21
1910,7,28
1910,8,4
1910,8,11
1910,8,25
1910,11,24
1911,1,5
1911,4,6
1911,5,18
1911,7,13
1911,8,3
1911,8,10
1911,8,17
1911,9,14
